"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
9,"sub",TRUE,1,"1",392,392,1,115,5,353,1.23316935373849
9,"sub",TRUE,1,"tot",392,392,1,115,5,353,1.23316935373849
9,"sub",TRUE,2,"1",230,197,0.856521739130435,63,3,173,1.76751645561161
9,"sub",TRUE,2,"6",162,15,0.0925925925925926,0,2,125,0.0146328959414098
9,"sub",TRUE,2,"tot",392,212,0.540816326530612,63,3,298,0.101803326524657
9,"sub",TRUE,4,"1",142,108,0.76056338028169,38,3,90,2.48938271604938
9,"sub",TRUE,4,"3",82,24,0.292682926829268,4,3,57,0.0513337303223245
9,"sub",TRUE,4,"5",66,4,0.0606060606060606,0,2,46,0.023273035015339
9,"sub",TRUE,4,"6",102,9,0.0882352941176471,0,2,70,0.0247366426676771
9,"sub",TRUE,4,"tot",392,145,0.369897959183673,42,3,263,0.0803915904741376
9,"sub",TRUE,6,"1",117,88,0.752136752136752,33,3,75,2.4336
9,"sub",TRUE,6,"2",32,15,0.46875,2,9,19,0.141893194524773
9,"sub",TRUE,6,"3",66,12,0.181818181818182,3,4,41,0.0619838134961191
9,"sub",TRUE,6,"4",41,2,0.0487804878048781,0,2,29,0.0220617909510784
9,"sub",TRUE,6,"5",54,3,0.0555555555555556,0,2,34,0.0351379489849037
9,"sub",TRUE,6,"6",82,13,0.158536585365854,0,2,47,0.049165724466372
9,"sub",TRUE,6,"tot",392,133,0.339285714285714,36,3,245,0.0930053063193439
10,"sub",TRUE,1,"1",392,392,1,143,5,353,1.23316935373849
10,"sub",TRUE,1,"tot",392,392,1,143,5,353,1.23316935373849
10,"sub",TRUE,2,"1",229,228,0.995633187772926,71,3,207,1.22385586594786
10,"sub",TRUE,2,"3",163,68,0.417177914110429,8,7,143,0.0314754279251321
